"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"43242",1689,"RB81","",2,"","",""
"43241",1689,"RB80","",2,"","",""
"43240",1689,"RB48","",2,"","",""
"43239",1689,"RB46","",2,"","",""
"43238",1689,"RB45","",2,"","",""
"43237",1689,"RB44","",2,"","",""
"43236",1689,"RB40","",2,"","",""
"43235",1689,"RE9","",2,"","",""
"43234",1689,"RE8","",2,"","",""
"43233",1689,"RE1","",2,"","",""
"43219",1689,"RE74","",2,"","",""
"43218",1689,"RE72","",2,"","",""
"43216",1689,"RB75","",2,"","",""
"43215",1689,"RB74","",2,"","",""
"43214",1689,"RB73","",2,"","",""
"43213",1689,"RB72","",2,"","",""
"43212",1689,"RB64","",2,"","",""
"43055",1456,"SCH","",4,"","",""
"43054",1456,"KAT","",4,"","",""
"43052",1456,"SCH","",4,"","",""
"43051",1456,"KAT","",4,"","",""
"42449",1060,"S31","",1,"","",""
"42448",1060,"S3","",1,"","",""
"42447",1060,"S21","",1,"","",""
"42446",1060,"S2","",1,"","",""
"42445",1060,"S11","",1,"","",""
"42444",1060,"S1","",1,"","",""
"34536",810,"RE70","",2,"","",""
"34535",810,"RE60","",2,"","",""
"34533",810,"RE15","",2,"","",""
"34530",605,"RB84","",2,"","",""
"34527",605,"RB58","",2,"","",""
"34523",605,"RB59","",2,"","",""
"34522",605,"RB85","",2,"","",""
"34520",605,"RB75","",2,"","",""
"34518",605,"RE18","",2,"","",""
"34517",605,"RB74","",2,"","",""
"34513",795,"RE50","",2,"","",""
"34512",795,"RE30","",2,"","",""
"34511",606,"RB41","",2,"","",""
"34510",606,"RE2","",2,"","",""
"34509",606,"RE3","",2,"","",""
"34508",606,"RE4","",2,"","",""
"34506",606,"RB31","",2,"","",""
"34505",607,"RB42","",2,"","",""
"34504",607,"RB32","",2,"","",""
"34503",607,"RB47","",2,"","",""
"34502",607,"RB43","",2,"","",""
"34501",607,"RE10","",2,"","",""
"34498",1655,"RB33","",2,"","",""
"26772",605,"RS4","",1,"","",""
"26771",605,"RS3","",1,"","",""
"26770",605,"RS2","",1,"","",""
"26769",605,"RS1","",1,"","",""
"70382",135,"522","",3,"","",""
"68893",135,"N50","Nachtliner N50",3,"","",""
"68892",135,"170","",3,"","",""
"68080",135,"835","",3,"","",""
"63858",554,"E7","",3,"","",""
"63857",554,"E3","",3,"","",""
"63625",135,"968","",3,"","",""
"63624",135,"652","",3,"","",""
"63623",135,"492","",3,"","",""
"63622",554,"254","",3,"","",""
"63128",554,"348","",3,"","",""
"62346",135,"760","",3,"","",""
"62345",135,"580","",3,"","",""
"62344",135,"490","",3,"","",""
"62343",135,"460","",3,"","",""
"58177",135,"639","",3,"","",""
"52845",135,"900","sprintH-900",3,"","",""
"52843",135,"600","sprintH-600",3,"","",""
"52842",135,"400","sprintH-400",3,"","",""
"52841",554,"800","sprintH-800",3,"","",""
"52840",554,"373","",3,"","",""
"51894",554,"E1","",3,"","",""
"49432",554,"18","",0,"","",""
"48285",135,"367","",3,"","",""
"48093",135,"917","",3,"","",""
"43994",135,"948","",3,"","",""
"43993",135,"835","",3,"","",""
"43992",135,"835","",3,"","",""
"32427",135,"965","",3,"","",""
"32426",135,"963","",3,"","",""
"31832",135,"930","",3,"","",""
"31831",135,"926","",3,"","",""
"31830",135,"910","",3,"","",""
"31829",135,"870","",3,"","",""
"31828",135,"860","",3,"","",""
"31827",135,"850","",3,"","",""
"31826",135,"840","",3,"","",""
"31825",135,"831","",3,"","",""
"31824",135,"820","",3,"","",""
"31822",135,"780","",3,"","",""
"31820",135,"741","",3,"","",""
"31819",135,"740","",3,"","",""
"31818",135,"711","",3,"","",""
"31817",135,"698","",3,"","",""
"31816",135,"697","",3,"","",""
"31815",135,"696","",3,"","",""
"31814",135,"695","",3,"","",""
"31813",135,"692","",3,"","",""
"31812",135,"690","",3,"","",""
"31811",135,"385","",3,"","",""
"31810",135,"382","",3,"","",""
"31809",135,"381","",3,"","",""
"31483",135,"962","",3,"","",""
"31482",135,"949","",3,"","",""
"31099",135,"300","sprintH-300",3,"","",""
"27688",135,"404","",3,"","",""
"23911",135,"572","",3,"","",""
"20381",135,"710","",3,"","",""
"20376",135,"715","",3,"","",""
"18070",135,"948","",3,"","",""
"16739",135,"964","",3,"","",""
"16737",554,"200","",3,"","",""
"16736",554,"100","",3,"","",""
"16292",135,"802","",3,"","",""
"14910",135,"966","",3,"","",""
"14908",135,"938","",3,"","",""
"14907",135,"927","",3,"","",""
"14905",135,"920","",3,"","",""
"14349",135,"N94","Nachtliner N94",3,"","",""
"14348",135,"N70","Nachtliner N70",3,"","",""
"14347",135,"N63","Nachtliner N63",3,"","",""
"14346",135,"N62","Nachtliner N62",3,"","",""
"14345",135,"N57","Nachtliner N57",3,"","",""
"14344",135,"N56","Nachtliner N56",3,"","",""
"14342",135,"N43","Nachtliner N43",3,"","",""
"14341",135,"N41","Nachtliner N41",3,"","",""
"14340",135,"N31","Nachtliner N31",3,"","",""
"14317",135,"967","",3,"","",""
"14311",135,"950","",3,"","",""
"14308",135,"946","",3,"","",""
"14302",135,"916","",3,"","",""
"14300",135,"907","",3,"","",""
"14299",135,"906","",3,"","",""
"14298",135,"905","",3,"","",""
"14296",135,"865","",3,"","",""
"14291",135,"830","",3,"","",""
"14288",135,"801","",3,"","",""
"14286",135,"785","",3,"","",""
"14283",135,"745","",3,"","",""
"14277",135,"701","",3,"","",""
"14276",135,"700","sprintH-700",3,"","",""
"14271",135,"694","",3,"","",""
"14268",135,"651","",3,"","",""
"14263",135,"638","",3,"","",""
"14262",135,"636","",3,"","",""
"14261",135,"635","",3,"","",""
"14259",135,"630","",3,"","",""
"14257",135,"621","",3,"","",""
"14256",135,"620","",3,"","",""
"14253",135,"575","",3,"","",""
"14252",135,"574","",3,"","",""
"14251",135,"573","",3,"","",""
"14250",135,"571","",3,"","",""
"14249",135,"570","",3,"","",""
"14248",135,"562","",3,"","",""
"14247",135,"561","",3,"","",""
"14246",135,"560","",3,"","",""
"14245",135,"540","",3,"","",""
"14244",135,"534","",3,"","",""
"14242",135,"532","",3,"","",""
"14240",135,"530","",3,"","",""
"14239",135,"523","",3,"","",""
"14237",135,"521","",3,"","",""
"14236",135,"520","",3,"","",""
"14235",135,"510","",3,"","",""
"14234",135,"502","",3,"","",""
"14233",135,"501","",3,"","",""
"14232",135,"500","sprintH-500",3,"","",""
"14225",135,"431","",3,"","",""
"14224",135,"430","",3,"","",""
"14223",135,"421","",3,"","",""
"14222",135,"410","",3,"","",""
"14216",135,"383","",3,"","",""
"14213",135,"380","",3,"","",""
"14212",135,"366","",3,"","",""
"14211",135,"365","",3,"","",""
"14210",135,"360","",3,"","",""
"14208",135,"320","",3,"","",""
"14207",135,"310","",3,"","",""
"14206",135,"301","",3,"","",""
"14205",135,"300","sprintH 300",3,"","",""
"14201",554,"631","",3,"","",""
"14198",554,"611","",3,"","",""
"14197",554,"610","",3,"","",""
"14196",554,"581","",3,"","",""
"14195",554,"480","",3,"","",""
"14194",554,"470","",3,"","",""
"14193",554,"450","",3,"","",""
"14192",554,"420","",3,"","",""
"14191",554,"390","",3,"","",""
"14189",554,"372","",3,"","",""
"14188",554,"371","",3,"","",""
"14186",554,"363","",3,"","",""
"14185",554,"346","",3,"","",""
"14184",554,"341","",3,"","",""
"14183",554,"340","",3,"","",""
"14182",554,"330","",3,"","",""
"14178",554,"253","",3,"","",""
